Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A801051,*Lipizzan,07/30/2019 02:45:00 PM,07/30/2019 02:45:00 PM,4738 South Interstate Highway 35 in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,*Lipizzan,10/16/2019 11:48:00 AM,10/16/2019 11:48:00 AM,06/17/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby,0.0
A691399,,11/03/2014 05:32:00 PM,11/03/2014 05:32:00 PM,E Stassney Ln And Mira Dr in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Boston Terrier Mix,Brown Brindle/White,,11/07/2014 04:34:00 PM,11/07/2014 04:34:00 PM,11/03/2012,Dog,Spayed Female,2 years,Boston Terrier Mix,Brown Brindle/White,0.0
A795934,Booties,05/26/2019 01:09:00 PM,05/26/2019 01:09:00 PM,4522 Felicity Lane in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue/White,Booties,11/04/2019 01:13:00 PM,11/04/2019 01:13:00 PM,04/26/2019,Cat,Intact Female,6 months,Domestic Shorthair,Blue/White,0.0
A706306,*Camron,06/27/2015 12:22:00 PM,06/27/2015 12:22:00 PM,Loyola Ln & Johnny Morris Rd in Austin (TX),Stray,Injured,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/Tortie,*Camron,07/02/2015 01:00:00 PM,07/02/2015 01:00:00 PM,04/05/2015,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/Tortie,0.0
A711401,*Silver,09/06/2015 01:23:00 PM,09/06/2015 01:23:00 PM,8204 Sam Rayburn #1 in Austin (TX),Owner Surrender,Nursing,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Tan/White,*Silver,09/08/2015 05:12:00 PM,09/08/2015 05:12:00 PM,07/06/2015,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan/White,0.0
A806604,,10/13/2019 11:16:00 AM,10/13/2019 11:16:00 AM,11601 Old Lockhart Road in Creedmoor (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair,Brown Tabby,,10/17/2019 02:56:00 PM,10/17/2019 02:56:00 PM,01/13/2019,Cat,Intact Female,9 months,Domestic Shorthair,Brown Tabby,0.0
A745484,,03/18/2017 03:25:00 PM,03/18/2017 03:25:00 PM,9902 Plover in Austin (TX),Stray,Normal,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby,,03/18/2017 05:32:00 PM,03/18/2017 05:32:00 PM,03/12/2017,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby,0.0
A703942,Stella,05/30/2015 03:57:00 PM,05/30/2015 03:57:00 PM,"Springville, Walking Stick in Austin (TX)",Stray,Normal,Dog,Intact Female,1 year,Dachshund Mix,Brown/Tricolor,Stella,06/03/2015 05:03:00 PM,06/03/2015 05:03:00 PM,05/30/2014,Dog,Spayed Female,1 year,Dachshund Mix,Brown/Tricolor,0.0
A710369,Georgia,08/22/2015 11:49:00 AM,08/22/2015 11:49:00 AM,Wimbledon Dr And Wightman Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,German Shepherd Mix,Red,Georgia,08/23/2015 07:05:00 PM,08/23/2015 07:05:00 PM,06/22/2015,Dog,Spayed Female,2 months,German Shepherd Mix,Red,0.0
A720719,Greenwood,02/14/2016 04:02:00 PM,02/14/2016 04:02:00 PM,21413 Webber Oaks Cv in Travis (TX),Public Assist,Normal,Bird,Intact Male,1 year,Chicken Mix,Black/Red,Greenwood,03/08/2016 04:48:00 PM,03/08/2016 04:48:00 PM,02/14/2015,Bird,Intact Male,1 year,Chicken Mix,Black/Red,0.0
A709277,Cameron,08/06/2015 06:35:00 PM,08/06/2015 06:35:00 PM,9102 1/2 Happy Trl in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby,Cameron,08/16/2015 06:56:00 PM,08/16/2015 06:56:00 PM,05/06/2015,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby,0.0
A763671,Romeo,12/13/2017 01:17:00 PM,12/13/2017 01:17:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown,Romeo,12/21/2017 11:42:00 AM,12/21/2017 11:42:00 AM,10/13/2013,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown,0.0
A766636,Nugget,02/13/2018 12:04:00 PM,02/13/2018 12:04:00 PM,Del Valle (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie,Nugget,02/17/2018 02:59:00 PM,02/17/2018 02:59:00 PM,11/13/2017,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0.0
